Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771877414785,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.0158576965332,45.31472396850586,50.80530548095703,46.697425842285156,45.69795227050781,43.47210693359375,44.322574615478516,44.95412063598633,43.966529846191406,44.11286163330078,100,50,50,0,0,0,0,0,0,0,11.720467567443848,17179869184,0,9302441984,0
209,1771877414785,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.0158576965332,45.31472396850586,50.80530548095703,46.697425842285156,45.69795227050781,43.47210693359375,44.322574615478516,44.95412063598633,43.966529846191406,44.11286163330078,0,0,100,50,0,0,0,0,0,0,11.720467567443848,17179869184,0,9302441984,0
11,1771877414996,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.0158576965332,45.31472396850586,50.80530548095703,46.697425842285156,45.69795227050781,43.47210693359375,44.322574615478516,44.95412063598633,43.966529846191406,44.11286163330078,45,14.285715103149414,30.000001907348633,4.761904716491699,9.523809432983398,0,0,0,0,0,11.720467567443848,17179869184,0,9302441984,0
