Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771873216686,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.64287185668945,52.39593505859375,58.34880065917969,55.44278335571289,54.858001708984375,51.61711120605469,51.1960563659668,52.472469329833984,51.776126861572266,51.21247100830078,0,0,0,0,50,0,0,0,0,0,15.454458236694336,17179869184,0,9050423296,0
204,1771873216686,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.64287185668945,52.39593505859375,58.34880065917969,55.44278335571289,54.858001708984375,51.61711120605469,51.1960563659668,52.472469329833984,51.776126861572266,51.21247100830078,50,50,100,50,0,0,0,0,0,0,15.454458236694336,17179869184,0,9050423296,0
10,1771873216891,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.64287185668945,52.39593505859375,58.34880065917969,55.44278335571289,54.858001708984375,51.61711120605469,51.1960563659668,52.472469329833984,51.776126861572266,51.21247100830078,36.842105865478516,33.333335876464844,57.894737243652344,25,10.526315689086914,15.000000953674316,5,9.090909004211426,9.523809432983398,0,14.937443733215332,17179869184,0,9050423296,0
