Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771873259619,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.40105056762695,51.637935638427734,59.03160095214844,55.94316864013672,54.631256103515625,51.448238372802734,50.56256103515625,52.249107360839844,51.41362380981445,50.752967834472656,66.66667175292969,100,100,50,0,0,0,0,0,0,12.864877700805664,17179869184,0,9077850112,0
204,1771873259619,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.40105056762695,51.637935638427734,59.03160095214844,55.94316864013672,54.631256103515625,51.448238372802734,50.56256103515625,52.249107360839844,51.41362380981445,50.752967834472656,NaN,50,100,0,100,100,0,0,0,0,12.864877700805664,17179869184,0,9077850112,0
12,1771873259825,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.40105056762695,51.637935638427734,59.03160095214844,55.94316864013672,54.631256103515625,51.448238372802734,50.56256103515625,52.249107360839844,51.41362380981445,50.752967834472656,35,35,47.36842346191406,23.809524536132813,5.263157844543457,23.809524536132813,4.761904716491699,0,4.761904716491699,4.545454502105713,13.080965042114258,17179869184,0,9077850112,0
