Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771878259003,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.42231369018555,44.43251419067383,50.41625213623047,45.60615921020508,44.728248596191406,42.22721862792969,42.69664001464844,43.310577392578125,42.95724868774414,43.049278259277344,NaN,50,0,0,0,0,0,0,0,0,9.558629035949707,17179869184,0,9409773568,0
209,1771878259003,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.42231369018555,44.43251419067383,50.41625213623047,45.60615921020508,44.728248596191406,42.22721862792969,42.69664001464844,43.310577392578125,42.95724868774414,43.049278259277344,66.66667175292969,100,100,0,0,0,0,0,0,0,9.558629035949707,17179869184,0,9407922176,0
209,1771878259213,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.42231369018555,44.43251419067383,50.41625213623047,45.60615921020508,44.728248596191406,42.22721862792969,42.69664001464844,43.310577392578125,42.95724868774414,43.049278259277344,60.000003814697266,61.904762268066406,61.904762268066406,40.90909194946289,20,4.761904716491699,0,0,0,0,9.558629035949707,17179869184,0,9413541888,0
10,1771878259423,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.48876190185547,44.651851654052734,49.302978515625,45.47880935668945,45.259246826171875,42.64552688598633,42.80708312988281,42.88703918457031,43.03908157348633,43.37086486816406,30.000001907348633,14.285715103149414,66.66667175292969,45,4.545454502105713,10,4.761904716491699,0,0,0,9.558629035949707,17179869184,0,9413541888,0
