Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771874560185,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.251251220703125,47.77955627441406,51.85430908203125,48.163814544677734,49.25897216796875,47.0489387512207,46.49631118774414,46.89781188964844,46.89657974243164,46.597877502441406,100,50,0,0,0,0,0,0,0,0,11.416524887084961,17179869184,0,9452699648,0
209,1771874560186,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.251251220703125,47.77955627441406,51.85430908203125,48.163814544677734,49.25897216796875,47.0489387512207,46.49631118774414,46.89781188964844,46.89657974243164,46.597877502441406,100,100,0,0,50,0,0,0,0,0,11.416524887084961,17179869184,0,9452699648,0
8,1771874560396,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.439849853515625,47.86274719238281,52.84454345703125,49.11112594604492,49.66796875,46.17517852783203,46.573219299316406,47.03882598876953,46.602046966552734,46.586326599121094,4.761904716491699,9.523809432983398,66.66667175292969,55,57.142860412597656,38.095237731933594,0,0,0,0,11.416524887084961,17179869184,0,9452699648,0
