Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771877216550,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.27688217163086,47.29574966430664,50.718170166015625,48.150390625,48.28337097167969,45.2553596496582,46.41326904296875,46.676780700683594,46.14897155761719,46.20934295654297,0,0,66.66667175292969,0,0,0,0,0,0,0,9.426499366760254,17179869184,0,9262776320,0
205,1771877216551,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.27688217163086,47.29574966430664,50.718170166015625,48.150390625,48.28337097167969,45.2553596496582,46.41326904296875,46.676780700683594,46.14897155761719,46.20934295654297,100,100,0,0,NaN,0,0,0,0,0,9.426499366760254,17179869184,0,9263071232,0
201,1771877216756,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.27688217163086,47.29574966430664,50.718170166015625,48.150390625,48.28337097167969,45.2553596496582,46.41326904296875,46.676780700683594,46.14897155761719,46.20934295654297,57.894737243652344,57.142860412597656,57.894737243652344,45,30.000001907348633,5,0,0,0,0,8.363631248474121,17179869184,0,9266937856,0
209,1771877216958,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.27688217163086,47.29574966430664,50.718170166015625,48.150390625,48.28337097167969,45.2553596496582,46.41326904296875,46.676780700683594,46.14897155761719,46.20934295654297,5.263157844543457,10,70,78.94737243652344,15.000000953674316,0,0,0,0,0,8.363631248474121,17179869184,0,9297936384,0
209,1771877217168,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.27688217163086,47.29574966430664,50.718170166015625,48.150390625,48.28337097167969,45.2553596496582,46.41326904296875,46.676780700683594,46.14897155761719,46.20934295654297,23.809524536132813,19.047618865966797,57.142860412597656,61.904762268066406,19.047618865966797,31.81818199157715,0,0,0,0,8.363631248474121,17179869184,0,9327394816,0
209,1771877217378,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.86046600341797,48.31690216064453,56.769248962402344,54.039485931396484,51.16924285888672,48.877281188964844,47.70167541503906,48.55434036254883,47.11611557006836,47.92786407470703,19.047618865966797,15.000000953674316,38.095237731933594,0,0,100,0,0,0,0,8.363631248474121,17179869184,0,9348907008,0
202,1771877217588,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.86046600341797,48.31690216064453,56.769248962402344,54.039485931396484,51.16924285888672,48.877281188964844,47.70167541503906,48.55434036254883,47.11611557006836,47.92786407470703,25,15.000000953674316,61.904762268066406,14.285715103149414,0,57.142860412597656,0,0,0,0,8.363631248474121,17179869184,0,9348907008,0
208,1771877217791,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.86046600341797,48.31690216064453,56.769248962402344,54.039485931396484,51.16924285888672,48.877281188964844,47.70167541503906,48.55434036254883,47.11611557006836,47.92786407470703,31.57894515991211,35,68.42105102539063,25,50,28.571430206298828,23.809524536132813,15.000000953674316,9.523809432983398,10,11.683380126953125,17179869184,0,9348907008,0
209,1771877217999,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.86046600341797,48.31690216064453,56.769248962402344,54.039485931396484,51.16924285888672,48.877281188964844,47.70167541503906,48.55434036254883,47.11611557006836,47.92786407470703,28.571430206298828,15.000000953674316,50,35,38.095237731933594,10,19.047618865966797,4.545454502105713,0,0,11.683380126953125,17179869184,0,9348907008,0
206,1771877218209,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.86046600341797,48.31690216064453,56.769248962402344,54.039485931396484,51.16924285888672,48.877281188964844,47.70167541503906,48.55434036254883,47.11611557006836,47.92786407470703,25,23.809524536132813,52.38095474243164,45.45454788208008,31.81818199157715,22.72727394104004,0,5,0,0,11.683380126953125,17179869184,0,9394257920,0
