Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1771497024947,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.916358947753906,48.374114990234375,42.95621109008789,41.69582748413086,48.52220916748047,42.47614288330078,39.627838134765625,41.46867370605469,42.85714340209961,47.619049072265625,25,35,57.142860412597656,28.571430206298828,71.42857360839844,14.285715103149414,14.285715103149414,5,9.56969165802002,17179869184,0,10471407616,0
204,1771497025152,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.916358947753906,48.374114990234375,42.95621109008789,41.69582748413086,48.52220916748047,42.47614288330078,39.627838134765625,41.46867370605469,21.052631378173828,25,14.285715103149414,14.285715103149414,9.523809432983398,0,0,35,80,15.000000953674316,9.56969165802002,17179869184,0,10466230272,0
204,1771497025357,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.916358947753906,48.374114990234375,42.95621109008789,41.69582748413086,48.52220916748047,42.47614288330078,39.627838134765625,41.46867370605469,38.095237731933594,38.095237731933594,30.000001907348633,30.000001907348633,0,0,0,35,80.95238494873047,25,20.746234893798828,17179869184,0,10454499328,0
204,1771497025562,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.916358947753906,48.374114990234375,42.95621109008789,41.69582748413086,48.52220916748047,42.47614288330078,39.627838134765625,41.46867370605469,5,0,0,10,0,0,0,100,0,0,20.746234893798828,17179869184,0,10455810048,0
204,1771497025767,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,43.916358947753906,48.374114990234375,42.95621109008789,41.69582748413086,48.52220916748047,42.47614288330078,39.627838134765625,41.46867370605469,9.090909004211426,9.090909004211426,9.523809432983398,4.761904716491699,0,0,0,100,0,0,20.746234893798828,17179869184,0,10459348992,0
204,1771497025972,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,10,0,5,5,0,0,0,100,4.761904716491699,0,20.746234893798828,17179869184,0,10468130816,0
204,1771497026177,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,9.523809432983398,4.761904716491699,0,0,0,0,100,0,0,20.746234893798828,17179869184,0,10469195776,0
204,1771497026382,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,19.047618865966797,10,10,9.090909004211426,25,4.761904716491699,0,45,25,19.047618865966797,20.620773315429688,17179869184,0,10492149760,0
204,1771497026587,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,15.000000953674316,14.285715103149414,9.523809432983398,0,4.761904716491699,0,0,52.38095474243164,30.000001907348633,25,20.620773315429688,17179869184,0,10490298368,0
202,1771497026792,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,20,21.052631378173828,15.789472579956055,19.047618865966797,0,0,0,45,28.571430206298828,42.85714340209961,20.620773315429688,17179869184,0,10501931008,0
204,1771497026995,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,15.000000953674316,14.285715103149414,9.523809432983398,10,5,5,0,66.66667175292969,15.000000953674316,15.000000953674316,20.620773315429688,17179869184,0,10488741888,0
204,1771497027200,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,10,9.523809432983398,5,0,9.523809432983398,0,0,80,9.523809432983398,0,20.620773315429688,17179869184,0,10488709120,0
204,1771497027405,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,5,4.761904716491699,4.761904716491699,0,0,0,100,0,0,17.815994262695313,17179869184,0,10488872960,0
204,1771497027610,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,5,5,0,0,0,0,100,0,0,17.815994262695313,17179869184,0,10488872960,0
204,1771497027815,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,9.090909004211426,4.761904716491699,0,4.761904716491699,0,0,0,100,0,0,17.815994262695313,17179869184,0,10479960064,0
204,1771497028020,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,9.523809432983398,5,4.761904716491699,0,0,0,100,0,0,17.815994262695313,17179869184,0,10485415936,0
