Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771876041009,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.24165725708008,43.853782653808594,47.32782745361328,43.89097595214844,45.143096923828125,42.16779327392578,43.54685592651367,43.34878158569336,43.408077239990234,43.359535217285156,50,0,NaN,0,0,0,0,0,0,0,8.454034805297852,17179869184,0,9516662784,0
202,1771876041009,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.24165725708008,43.853782653808594,47.32782745361328,43.89097595214844,45.143096923828125,42.16779327392578,43.54685592651367,43.34878158569336,43.408077239990234,43.359535217285156,100,100,50,0,0,0,0,0,0,0,8.454034805297852,17179869184,0,9516695552,0
209,1771876041211,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.24165725708008,43.853782653808594,47.32782745361328,43.89097595214844,45.143096923828125,42.16779327392578,43.54685592651367,43.34878158569336,43.408077239990234,43.359535217285156,61.904762268066406,60.000003814697266,63.15789031982422,42.85714340209961,15.789472579956055,4.761904716491699,0,0,0,0,8.454034805297852,17179869184,0,9523019776,0
209,1771876041421,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.200157165527344,44.42839813232422,52.218482971191406,48.18851852416992,46.715248107910156,44.01345443725586,44.452186584472656,44.506587982177734,43.98423385620117,44.10057830810547,21.052631378173828,10.526315689086914,95.23809814453125,40,4.545454502105713,0,0,0,0,0,8.454034805297852,17179869184,0,9523019776,0
209,1771876041631,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.200157165527344,44.42839813232422,52.218482971191406,48.18851852416992,46.715248107910156,44.01345443725586,44.452186584472656,44.506587982177734,43.98423385620117,44.10057830810547,19.047618865966797,22.72727394104004,52.38095474243164,61.904762268066406,38.095237731933594,0,4.761904716491699,0,0,0,8.454034805297852,17179869184,0,9541107712,0
202,1771876041841,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.200157165527344,44.42839813232422,52.218482971191406,48.18851852416992,46.715248107910156,44.01345443725586,44.452186584472656,44.506587982177734,43.98423385620117,44.10057830810547,15.000000953674316,10.526315689086914,71.42857360839844,72.7272720336914,0,0,0,0,0,0,10.257957458496094,17179869184,0,9541107712,0
209,1771876042044,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.200157165527344,44.42839813232422,52.218482971191406,48.18851852416992,46.715248107910156,44.01345443725586,44.452186584472656,44.506587982177734,43.98423385620117,44.10057830810547,15.000000953674316,15.000000953674316,85,36.842105865478516,9.523809432983398,5,0,0,0,0,10.257957458496094,17179869184,0,9541140480,0
209,1771876042254,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.64381408691406,45.074432373046875,56.01445770263672,52.06045913696289,48.47710418701172,45.25010299682617,45.82192611694336,45.939964294433594,44.57947540283203,44.67157745361328,31.57894515991211,33.333335876464844,75,40,45,28.571430206298828,10,5,4.761904716491699,9.090909004211426,10.257957458496094,17179869184,0,9555787776,0
208,1771876042464,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.64381408691406,45.074432373046875,56.01445770263672,52.06045913696289,48.47710418701172,45.25010299682617,45.82192611694336,45.939964294433594,44.57947540283203,44.67157745361328,19.047618865966797,15.000000953674316,52.38095474243164,38.095237731933594,31.81818199157715,27.272727966308594,18.18181800842285,4.545454502105713,4.545454502105713,0,10.257957458496094,17179869184,0,9587605504,0
204,1771876042673,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.64381408691406,45.074432373046875,56.01445770263672,52.06045913696289,48.47710418701172,45.25010299682617,45.82192611694336,45.939964294433594,44.57947540283203,44.67157745361328,15.000000953674316,19.047618865966797,19.047618865966797,61.904762268066406,20,4.761904716491699,4.761904716491699,4.761904716491699,0,0,10.257957458496094,17179869184,0,9585033216,0
