Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771877125872,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.569278717041016,47.35432434082031,53.428314208984375,49.65161895751953,48.28227233886719,45.524627685546875,47.05483627319336,46.98456954956055,46.20185852050781,46.28351593017578,66.66667175292969,50,33.333335876464844,0,0,0,0,0,0,0,8.943913459777832,17179869184,0,9244950528,0
202,1771877125872,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.569278717041016,47.35432434082031,53.428314208984375,49.65161895751953,48.28227233886719,45.524627685546875,47.05483627319336,46.98456954956055,46.20185852050781,46.28351593017578,0,0,100,0,50,0,0,0,0,0,8.943913459777832,17179869184,0,9245261824,0
209,1771877126075,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.569278717041016,47.35432434082031,53.428314208984375,49.65161895751953,48.28227233886719,45.524627685546875,47.05483627319336,46.98456954956055,46.20185852050781,46.28351593017578,22.22222328186035,20,65,66.66667175292969,5.263157844543457,0,0,0,0,0,8.943913459777832,17179869184,0,9375547392,0
209,1771877126285,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.236507415771484,47.86631774902344,53.653709411621094,50.89813995361328,49.493186950683594,47.435203552246094,47.15210723876953,47.447933197021484,46.54217529296875,46.96662902832031,27.272727966308594,10,38.095237731933594,52.38095474243164,0,38.095237731933594,0,0,0,0,8.943913459777832,17179869184,0,9445605376,0
209,1771877126495,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.236507415771484,47.86631774902344,53.653709411621094,50.89813995361328,49.493186950683594,47.435203552246094,47.15210723876953,47.447933197021484,46.54217529296875,46.96662902832031,20,28.571430206298828,47.36842346191406,95.23809814453125,14.285715103149414,9.523809432983398,4.761904716491699,4.761904716491699,0,0,8.943913459777832,17179869184,0,9354510336,0
207,1771877126705,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.236507415771484,47.86631774902344,53.653709411621094,50.89813995361328,49.493186950683594,47.435203552246094,47.15210723876953,47.447933197021484,46.54217529296875,46.96662902832031,15.000000953674316,15.789472579956055,47.619049072265625,25,52.38095474243164,0,0,0,0,0,11.85002326965332,17179869184,0,9354543104,0
203,1771877126912,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.236507415771484,47.86631774902344,53.653709411621094,50.89813995361328,49.493186950683594,47.435203552246094,47.15210723876953,47.447933197021484,46.54217529296875,46.96662902832031,15.789472579956055,10,71.42857360839844,65,9.523809432983398,18.18181800842285,9.090909004211426,4.761904716491699,0,0,11.85002326965332,17179869184,0,9353527296,0
209,1771877127116,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.236507415771484,47.86631774902344,53.653709411621094,50.89813995361328,49.493186950683594,47.435203552246094,47.15210723876953,47.447933197021484,46.54217529296875,46.96662902832031,23.809524536132813,28.571430206298828,45,61.904762268066406,25,25,10,5,9.523809432983398,5,11.85002326965332,17179869184,0,9376088064,0
12,1771877127326,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,50.223140716552734,48.769718170166016,57.219032287597656,55.6411018371582,52.41542053222656,49.20594024658203,48.76073455810547,49.51181411743164,47.37689971923828,48.14788055419922,4.761904716491699,4.761904716491699,23.809524536132813,5,14.285715103149414,9.523809432983398,4.761904716491699,0,0,0,11.85002326965332,17179869184,0,9293643776,0
