Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771878064052,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.98988723754883,44.58055114746094,50.84407043457031,45.92798614501953,45.09313201904297,42.83648681640625,43.459598541259766,43.68694305419922,43.442378997802734,43.131446838378906,50,50,50,0,0,0,0,0,0,0,9.62844467163086,17179869184,0,9452535808,0
203,1771878064053,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.98988723754883,44.58055114746094,50.84407043457031,45.92798614501953,45.09313201904297,42.83648681640625,43.459598541259766,43.68694305419922,43.442378997802734,43.131446838378906,NaN,100,100,NaN,0,0,0,0,0,0,9.62844467163086,17179869184,0,9452896256,0
209,1771878064256,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.07347869873047,44.71356964111328,49.834747314453125,46.21464538574219,46.065940856933594,43.48538589477539,43.61031723022461,43.69757843017578,43.83845520019531,43.181678771972656,55,52.38095474243164,57.894737243652344,40,30.000001907348633,9.523809432983398,0,0,0,0,9.62844467163086,17179869184,0,9458483200,0
14,1771878064466,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.07347869873047,44.71356964111328,49.834747314453125,46.21464538574219,46.065940856933594,43.48538589477539,43.61031723022461,43.69757843017578,43.83845520019531,43.181678771972656,13.636363983154297,14.285715103149414,33.333335876464844,19.047618865966797,14.285715103149414,4.761904716491699,0,0,0,0,9.62844467163086,17179869184,0,9453830144,0
