Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771873227379,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.63462448120117,51.16243362426758,55.60706329345703,52.3497200012207,54.70466613769531,50.472408294677734,50.478111267089844,51.21277618408203,51.40871047973633,50.393768310546875,100,100,50,100,0,0,50,0,0,0,10.084956169128418,17179869184,0,9055666176,0
204,1771873227379,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.63462448120117,51.16243362426758,55.60706329345703,52.3497200012207,54.70466613769531,50.472408294677734,50.478111267089844,51.21277618408203,51.40871047973633,50.393768310546875,0,0,100,50,0,0,0,0,NaN,0,10.084956169128418,17179869184,0,9056714752,0
10,1771873227584,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.63462448120117,51.16243362426758,55.60706329345703,52.3497200012207,54.70466613769531,50.472408294677734,50.478111267089844,51.21277618408203,51.40871047973633,50.393768310546875,42.105262756347656,45,75,65,42.85714340209961,33.333335876464844,20,15.000000953674316,9.523809432983398,10,10.084956169128418,17179869184,0,9055977472,0
