Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771876233716,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.243804931640625,44.89690399169922,51.88352966308594,47.568016052246094,46.526123046875,44.455265045166016,44.945152282714844,45.2485466003418,44.80520248413086,44.78410339355469,100,100,50,0,0,0,0,0,0,0,9.294888496398926,17179869184,0,9594863616,0
209,1771876233716,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.243804931640625,44.89690399169922,51.88352966308594,47.568016052246094,46.526123046875,44.455265045166016,44.945152282714844,45.2485466003418,44.80520248413086,44.78410339355469,100,100,0,50,0,0,0,0,0,0,9.294888496398926,17179869184,0,9593421824,0
209,1771876233926,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.243804931640625,44.89690399169922,51.88352966308594,47.568016052246094,46.526123046875,44.455265045166016,44.945152282714844,45.2485466003418,44.80520248413086,44.78410339355469,61.904762268066406,61.904762268066406,66.66667175292969,65,18.18181800842285,14.285715103149414,4.761904716491699,4.545454502105713,4.545454502105713,0,9.294888496398926,17179869184,0,9609576448,0
10,1771876234136,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.243804931640625,44.89690399169922,51.88352966308594,47.568016052246094,46.526123046875,44.455265045166016,44.945152282714844,45.2485466003418,44.80520248413086,44.78410339355469,60.000003814697266,52.38095474243164,45,19.047618865966797,25,4.761904716491699,9.523809432983398,0,0,0,9.294888496398926,17179869184,0,9535602688,0
