Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771879513396,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.1005859375,46.223052978515625,52.43873596191406,48.831539154052734,47.682716369628906,45.515071868896484,45.70267105102539,45.76067352294922,45.20873260498047,44.65522003173828,50,50,50,0,0,0,0,0,0,0,8.473684310913086,17179869184,0,8902639616,0
209,1771879513396,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.1005859375,46.223052978515625,52.43873596191406,48.831539154052734,47.682716369628906,45.515071868896484,45.70267105102539,45.76067352294922,45.20873260498047,44.65522003173828,100,100,0,50,50,0,0,0,0,0,8.473684310913086,17179869184,0,8902721536,0
209,1771879513606,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.1005859375,46.223052978515625,52.43873596191406,48.831539154052734,47.682716369628906,45.515071868896484,45.70267105102539,45.76067352294922,45.20873260498047,44.65522003173828,61.904762268066406,60.000003814697266,65,36.842105865478516,19.047618865966797,4.761904716491699,0,0,0,0,8.473684310913086,17179869184,0,8910225408,0
10,1771879513815,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.1005859375,46.223052978515625,52.43873596191406,48.831539154052734,47.682716369628906,45.515071868896484,45.70267105102539,45.76067352294922,45.20873260498047,44.65522003173828,42.105262756347656,23.809524536132813,57.142860412597656,22.72727394104004,0,0,0,0,0,0,8.410614967346191,17179869184,0,8903802880,0
