Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771879708039,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.757415771484375,44.12531280517578,50.320579528808594,45.62321853637695,44.935768127441406,42.45706558227539,43.50937271118164,44.15522003173828,43.36815643310547,42.80784606933594,66.66667175292969,100,50,0,0,0,0,0,0,0,8.775688171386719,17179869184,0,8922628096,0
200,1771879708039,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.757415771484375,44.12531280517578,50.320579528808594,45.62321853637695,44.935768127441406,42.45706558227539,43.50937271118164,44.15522003173828,43.36815643310547,42.80784606933594,100,50,0,0,0,0,0,0,0,0,8.775688171386719,17179869184,0,8922660864,0
203,1771879708240,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.757415771484375,44.12531280517578,50.320579528808594,45.62321853637695,44.935768127441406,42.45706558227539,43.50937271118164,44.15522003173828,43.36815643310547,42.80784606933594,63.15789031982422,60.000003814697266,63.15789031982422,47.36842346191406,20,5,0,0,0,0,8.775688171386719,17179869184,0,8931246080,0
10,1771879708444,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.1012077331543,44.149356842041016,49.74842834472656,45.740787506103516,45.53871154785156,42.900386810302734,43.564231872558594,43.97243881225586,43.74589538574219,43.053443908691406,31.57894515991211,14.285715103149414,31.57894515991211,47.619049072265625,4.761904716491699,0,0,0,0,0,8.775688171386719,17179869184,0,8923168768,0
