device,language,algorithm,size,mean,std,min,max
M2,javascript,merge_sort,10000,1.9633367314338686,0.2923052830601151,1.7874082660675048,2.7609523744583124
M2,javascript,merge_sort,20000,2.0395118450164795,0.3301319809734366,1.7810870914459227,2.8057178068161006
M2,javascript,merge_sort,50000,2.0497286458969115,0.4272890685553571,1.735812292098999,3.012943915367126
M2,javascript,merge_sort,100000,2.1969252429008486,0.5665129544213687,1.8398524932861327,3.6692807369232177
M2,javascript,merge_sort,125000,1.9630860940933228,0.2341169943380631,1.7693593883514405,2.4780212688446044
M2,javascript,merge_sort,250000,1.924411084842682,0.17715947892987938,1.7846772146224976,2.3217419738769536
M2,javascript,merge_sort,1000000,3.9188319852828983,1.0123540165371456,3.44544734954834,6.779198486328125
M2,javascript,merge_sort,4000000,11.152242400646209,0.8362307350034016,10.344810253143311,13.068506994247436
M2,javascript,quick_sort,1000,2.070676141452789,0.24294311602635715,1.8512572650909425,2.697172708511353
M2,javascript,quick_sort,10000,2.4058151926994324,0.6678292635255059,1.8421609210968017,3.7266797637939453
M2,javascript,quick_sort,20000,2.0831423495292665,0.2814273554720387,1.7301494121551513,2.780839270591736
M2,javascript,quick_sort,50000,2.286584638786316,0.7151601595223279,1.6834060268402098,3.58039134979248
M2,javascript,quick_sort,100000,2.1092873442649838,0.31395539162841646,1.7478553304672242,2.6650875778198237
M2,javascript,quick_sort,125000,2.085256409740448,0.29656472806606393,1.7283728685379027,2.621301708221436
M2,javascript,quick_sort,250000,2.135286417293549,0.23425735554741658,1.7819004487991332,2.528898247718811
M2,javascript,quick_sort,1000000,4.155421058177948,0.5592776220314654,3.3694220008850095,4.992142767906189
M2,javascript,quick_sort,4000000,17.068307703781127,1.549663498890869,14.426430181503296,19.092280512809754
M2,python,heap_sort,1000,1.980342259979248,0.2169092685515149,1.7015815715789795,2.3157437896728514
M2,python,heap_sort,10000,2.065201386642456,0.18583855084212952,1.853347618103027,2.446896514892578
M2,python,heap_sort,20000,1.9303483507156372,0.17712508501338303,1.8279322242736815,2.3925236396789553
M2,python,heap_sort,50000,2.0278032279014586,0.357367615294032,1.7154592819213865,2.8047502031326292
M2,python,heap_sort,100000,3.8467099780082696,0.32700512108923013,3.5895413141250607,4.447950317382812
M2,python,heap_sort,125000,2.0979198044776917,0.4350746869251727,1.676041370391846,2.986956805229187
M2,python,heap_sort,250000,10.194402323150634,1.3690162727138744,8.660244542121886,12.611612801551818
M2,python,heap_sort,1000000,68.14969041938781,5.737790775189425,61.45015182971954,79.83341967010497
M2,python,heap_sort,4000000,337.4511242917061,12.138225007408538,324.59234181785575,357.55045022678377
M2,python,merge_sort,1000,2.144853894138336,0.39644329990750066,1.7767640190124512,2.799161774635315
M2,python,merge_sort,10000,1.9611427200317384,0.24989703022823626,1.7952246665954588,2.5900875520706172
M2,python,merge_sort,20000,1.9472844422340394,0.2333629820379115,1.7589794006347657,2.3894084911346436
M2,python,merge_sort,50000,2.161793480205536,0.5249299810093165,1.7254889602661132,3.394951642990112
M2,python,merge_sort,100000,2.4547973465919495,0.8712306419784314,1.8727542705535887,4.115062543869018
M2,python,merge_sort,125000,1.9851239225387574,0.3053513183946386,1.779401351928711,2.591786175727844
M2,python,merge_sort,250000,5.681930374908447,0.6653528999536175,5.220431653022767,7.14942873764038
