device,language,algorithm,size,mean,std
M2,javascript,heap_sort,100000,0.2125,0.0019002923751652288
M2,javascript,heap_sort,125000,0.21189999999999998,0.0019119507199599946
M2,javascript,heap_sort,250000,0.2318,0.0650944612765855
M2,javascript,heap_sort,1000000,0.41459999999999997,0.0026331223544175174
M2,javascript,heap_sort,4000000,1.25,0.06271806402907817
M2,javascript,merge_sort,1000,0.21230000000000002,0.004110960958218882
M2,javascript,merge_sort,10000,0.2145,0.004972144630058758
M2,javascript,merge_sort,20000,0.2182,0.007450577904505869
M2,javascript,merge_sort,50000,0.21200000000000002,0.0027487370837451113
M2,javascript,merge_sort,100000,0.2169,0.001370320319406303
M2,javascript,merge_sort,125000,0.2165,0.005338539126015643
M2,javascript,merge_sort,250000,0.21739999999999998,0.002118699810942759
M2,javascript,merge_sort,1000000,0.421,0.006128258770283393
M2,javascript,merge_sort,4000000,1.2435,0.010298327803850283
M2,javascript,quick_sort,1000,0.21190000000000003,0.004581363212940971
M2,javascript,quick_sort,10000,0.2149,0.007636898730651214
M2,javascript,quick_sort,20000,0.2129,0.00428044649799786
M2,javascript,quick_sort,50000,0.2109,0.0021317702607092552
M2,javascript,quick_sort,100000,0.21230000000000002,0.0018885620632286967
M2,javascript,quick_sort,125000,0.21350000000000002,0.003308238873546535
M2,javascript,quick_sort,250000,0.2121,0.0014491376746189446
M2,javascript,quick_sort,1000000,0.41559999999999997,0.0009660917830793124
M2,javascript,quick_sort,4000000,1.6352,0.09432779724626958
M2,python,heap_sort,1000,0.2113,0.0014944341180973249
M2,python,heap_sort,10000,0.2142,0.005977736472389311
M2,python,heap_sort,20000,0.2122,0.0012292725943057288
M2,python,heap_sort,50000,0.2102,0.0018737959096740192
M2,python,heap_sort,100000,0.4163,0.0025841396591085664
M2,python,heap_sort,125000,0.21139999999999998,0.004948624949305494
M2,python,heap_sort,250000,1.0273999999999999,0.001712697677155354
M2,python,heap_sort,1000000,4.2832,0.009693067396626957
M2,python,heap_sort,4000000,18.689400000000003,0.1311379256948781
M2,python,merge_sort,1000,0.2138,0.004184627953726714
M2,python,merge_sort,10000,0.2143,0.005034326612809741
M2,python,merge_sort,20000,0.2164,0.00442718872423573
M2,python,merge_sort,50000,0.2124,0.0037475918193480453
M2,python,merge_sort,100000,0.2571,0.08480887008116807
M2,python,merge_sort,125000,0.2166,0.0050596442562693906
M2,python,merge_sort,250000,0.6336999999999999,0.0034009802508492577
M2,python,merge_sort,1000000,2.1467,0.09526693491914669
M2,python,merge_sort,4000000,9.063099999999999,0.10449821901725324
M2,python,quick_sort,1000,0.21059999999999998,0.0036575644598253842
M2,python,quick_sort,10000,0.21259999999999998,0.003565264521898911
M2,python,quick_sort,20000,0.2113,0.0020027758514399767
M2,python,quick_sort,50000,0.2125,0.005602578771323856
M2,python,quick_sort,100000,0.2117,0.0028303906287138344
M2,python,quick_sort,125000,0.21259999999999998,0.005853773711604039
M2,python,quick_sort,250000,0.4144,0.0027568097504180214
M2,python,quick_sort,1000000,1.4143999999999999,0.06382301918412953
M2,python,quick_sort,4000000,5.369399999999999,0.09666689655145107
