Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771874946679,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.52413558959961,47.59653854370117,51.22534942626953,47.171932220458984,48.867408752441406,45.7869873046875,46.822547912597656,47.004188537597656,47.28432846069336,47.035247802734375,50,66.66667175292969,0,0,100,0,0,0,0,0,7.7669172286987305,17179869184,0,9110519808,0
204,1771874946679,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.52413558959961,47.59653854370117,51.22534942626953,47.171932220458984,48.867408752441406,45.7869873046875,46.822547912597656,47.004188537597656,47.28432846069336,47.035247802734375,100,NaN,33.333335876464844,0,100,0,0,0,0,0,7.7669172286987305,17179869184,0,9110650880,0
204,1771874946884,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.52413558959961,47.59653854370117,51.22534942626953,47.171932220458984,48.867408752441406,45.7869873046875,46.822547912597656,47.004188537597656,47.28432846069336,47.035247802734375,75,76.19047546386719,61.11111068725586,31.57894515991211,20,5,4.761904716491699,0,0,0,10.9813814163208,17179869184,0,9117089792,0
200,1771874947089,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.52413558959961,47.59653854370117,51.22534942626953,47.171932220458984,48.867408752441406,45.7869873046875,46.822547912597656,47.004188537597656,47.28432846069336,47.035247802734375,45,45,57.142860412597656,42.85714340209961,35,9.523809432983398,5.263157844543457,0,0,0,10.9813814163208,17179869184,0,9147039744,0
204,1771874947290,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,51.86515808105469,48.66993713378906,55.89238739013672,52.082916259765625,54.20576477050781,49.91191864013672,48.32717514038086,48.789634704589844,48.77037048339844,48.41325378417969,45,40,65,40,25,5,23.809524536132813,0,0,0,10.9813814163208,17179869184,0,9168797696,0
200,1771874947495,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,51.86515808105469,48.66993713378906,55.89238739013672,52.082916259765625,54.20576477050781,49.91191864013672,48.32717514038086,48.789634704589844,48.77037048339844,48.41325378417969,30.000001907348633,36.842105865478516,60.000003814697266,55,38.095237731933594,26.3157901763916,23.809524536132813,0,0,4.761904716491699,10.9813814163208,17179869184,0,9253486592,0
204,1771874947696,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,51.86515808105469,48.66993713378906,55.89238739013672,52.082916259765625,54.20576477050781,49.91191864013672,48.32717514038086,48.789634704589844,48.77037048339844,48.41325378417969,5,4.761904716491699,25,28.571430206298828,30.000001907348633,19.047618865966797,0,0,0,0,10.9813814163208,17179869184,0,9253748736,0
204,1771874947901,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,51.86515808105469,48.66993713378906,55.89238739013672,52.082916259765625,54.20576477050781,49.91191864013672,48.32717514038086,48.789634704589844,48.77037048339844,48.41325378417969,25,25,57.142860412597656,40,33.333335876464844,14.285715103149414,20,9.523809432983398,9.523809432983398,0,11.494061470031738,17179869184,0,9245065216,0
204,1771874948106,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,51.86515808105469,48.66993713378906,55.89238739013672,52.082916259765625,54.20576477050781,49.91191864013672,48.32717514038086,48.789634704589844,48.77037048339844,48.41325378417969,23.809524536132813,15.000000953674316,45,30.000001907348633,55,28.571430206298828,10,0,0,0,11.494061470031738,17179869184,0,9273507840,0
204,1771874948311,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.007415771484375,49.598411560058594,58.261268615722656,54.61253356933594,55.70451354980469,52.17121887207031,49.863155364990234,50.63581466674805,49.73123550415039,49.49317169189453,15.000000953674316,19.047618865966797,35,45,75,55,19.047618865966797,4.761904716491699,0,4.761904716491699,11.494061470031738,17179869184,0,9273737216,0
