Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771874482941,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.841182708740234,48.054073333740234,55.936546325683594,50.956581115722656,51.617279052734375,47.56367111206055,46.8228759765625,47.82189178466797,47.294700622558594,46.89624786376953,100,100,NaN,50,100,0,0,0,0,0,11.417337417602539,17179869184,0,9488416768,0
205,1771874482941,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.841182708740234,48.054073333740234,55.936546325683594,50.956581115722656,51.617279052734375,47.56367111206055,46.8228759765625,47.82189178466797,47.294700622558594,46.89624786376953,100,NaN,50,100,0,0,0,0,0,0,11.417337417602539,17179869184,0,9488351232,0
209,1771874483147,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.841182708740234,48.054073333740234,55.936546325683594,50.956581115722656,51.617279052734375,47.56367111206055,46.8228759765625,47.82189178466797,47.294700622558594,46.89624786376953,100,100,70,57.142860412597656,42.85714340209961,47.36842346191406,23.809524536132813,15.000000953674316,14.285715103149414,10,11.417337417602539,17179869184,0,9507487744,0
8,1771874483357,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.72388458251953,48.89106369018555,54.63294982910156,51.650333404541016,51.7548828125,49.09305953979492,47.5547981262207,48.59520721435547,48.33993148803711,47.759918212890625,100,100,60.000003814697266,42.85714340209961,47.619049072265625,19.047618865966797,15.000000953674316,9.523809432983398,9.090909004211426,4.761904716491699,11.417337417602539,17179869184,0,9515106304,0
