Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771875414926,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.79555130004883,45.4366340637207,48.85845184326172,46.146358489990234,45.75312805175781,43.76210021972656,44.055171966552734,44.00930404663086,44.4193115234375,44.7781982421875,66.66667175292969,0,0,0,0,0,0,0,0,0,10.736663818359375,17179869184,0,9324527616,0
204,1771875414927,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.79555130004883,45.4366340637207,48.85845184326172,46.146358489990234,45.75312805175781,43.76210021972656,44.055171966552734,44.00930404663086,44.4193115234375,44.7781982421875,0,0,100,0,0,0,0,0,0,0,10.736663818359375,17179869184,0,9324724224,0
13,1771875415132,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.79555130004883,45.4366340637207,48.85845184326172,46.146358489990234,45.75312805175781,43.76210021972656,44.055171966552734,44.00930404663086,44.4193115234375,44.7781982421875,10,15.000000953674316,19.047618865966797,0,4.761904716491699,0,0,0,0,0,10.736663818359375,17179869184,0,9318596608,0
