Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771876856786,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.727294921875,44.07692337036133,49.359657287597656,45.214115142822266,44.388511657714844,41.69404220581055,43.11469650268555,43.128936767578125,42.64204025268555,43.22834014892578,50,0,50,0,0,0,0,0,0,0,7.372935771942139,17179869184,0,9421701120,0
200,1771876856786,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.727294921875,44.07692337036133,49.359657287597656,45.214115142822266,44.388511657714844,41.69404220581055,43.11469650268555,43.128936767578125,42.64204025268555,43.22834014892578,NaN,100,100,50,0,0,0,0,0,0,7.372935771942139,17179869184,0,9421701120,0
209,1771876856987,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.727294921875,44.07692337036133,49.359657287597656,45.214115142822266,44.388511657714844,41.69404220581055,43.11469650268555,43.128936767578125,42.64204025268555,43.22834014892578,66.66667175292969,65,57.894737243652344,40,20,5,0,0,0,0,7.372935771942139,17179869184,0,9421701120,0
206,1771876857197,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.727294921875,44.07692337036133,49.359657287597656,45.214115142822266,44.388511657714844,41.69404220581055,43.11469650268555,43.128936767578125,42.64204025268555,43.22834014892578,20,15.000000953674316,90.47618865966797,40,9.090909004211426,0,4.761904716491699,0,0,0,7.372935771942139,17179869184,0,9421701120,0
209,1771876857404,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.95505142211914,44.75886917114258,51.25908660888672,47.24034881591797,46.16423797607422,43.663330078125,44.03660202026367,44.22589874267578,43.4620475769043,43.927276611328125,20,19.047618865966797,90.90909576416016,45,20,0,0,0,0,0,7.372935771942139,17179869184,0,9436676096,0
209,1771876857614,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.95505142211914,44.75886917114258,51.25908660888672,47.24034881591797,46.16423797607422,43.663330078125,44.03660202026367,44.22589874267578,43.4620475769043,43.927276611328125,30.000001907348633,20,25,9.090909004211426,45,45.45454788208008,0,0,0,0,7.372935771942139,17179869184,0,9434120192,0
11,1771876857824,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.95505142211914,44.75886917114258,51.25908660888672,47.24034881591797,46.16423797607422,43.663330078125,44.03660202026367,44.22589874267578,43.4620475769043,43.927276611328125,15.000000953674316,14.285715103149414,70,28.571430206298828,13.636363983154297,33.333335876464844,0,0,0,4.761904716491699,12.396873474121094,17179869184,0,9434120192,0
